lat,lng,temperature
6.75,2.75,27.32
6.75,3.25,27.47
6.75,3.75,27.5
6.75,4.25,27.24
6.75,4.75,27.02
6.75,5.25,26.94
6.75,5.75,26.98
6.75,6.25,27.05
6.75,6.75,27.41
6.75,7.25,27.39
6.75,7.75,27.74
6.75,8.25,28.37
6.75,8.75,28.3
6.75,9.25,28.05
6.75,9.75,27.67
7.25,0.25,27.66
7.25,0.75,26.86
7.25,1.25,27.44
7.25,1.75,27.51
7.25,2.25,27.25
7.25,2.75,27.04
7.25,3.25,26.99
7.25,3.75,26.91
7.25,4.25,26.84
7.25,4.75,26.71
7.25,5.25,26.68
7.25,5.75,26.9
7.25,6.25,27.47
7.25,6.75,27.92
7.25,7.25,27.94
7.25,7.75,28.4
7.25,8.25,29.14
7.25,8.75,29.01
7.25,9.25,29.29
7.25,9.75,29.25
7.75,0.25,27.76
7.75,0.75,26.64
7.75,1.25,27.23
7.75,1.75,27.55
7.75,2.25,27.49
7.75,2.75,27.32
7.75,3.25,27.19
7.75,3.75,27.03
7.75,4.25,27.16
7.75,4.75,27.3
7.75,5.25,27.58
7.75,5.75,28.06
7.75,6.25,28.72
7.75,6.75,28.92
7.75,7.25,28.76
7.75,7.75,28.89
7.75,8.25,29.21
7.75,8.75,28.84
7.75,9.25,29.14
7.75,9.75,29.18
8.25,0.25,28.29
8.25,0.75,27.03
8.25,1.25,27.22
8.25,1.75,27.57
8.25,2.25,27.73
8.25,2.75,27.79
8.25,3.25,27.82
8.25,3.75,27.87
8.25,4.25,28.38
8.25,4.75,28.91
8.25,5.25,29.46
8.25,5.75,29.84
8.25,6.25,29.74
8.25,6.75,29.35
8.25,7.25,29.16
8.25,7.75,29.17
8.25,8.25,29.35
8.25,8.75,29.63
8.25,9.25,29.99
8.25,9.75,29.82
8.75,0.25,29.33
8.75,0.75,28.16
8.75,1.25,27.67
8.75,1.75,27.85
8.75,2.25,28.24
8.75,2.75,28.53
8.75,3.25,28.72
8.75,3.75,29.06
8.75,4.25,29.8
8.75,4.75,30.32
8.75,5.25,30.54
8.75,5.75,30.4
8.75,6.25,29.8
8.75,6.75,28.97
8.75,7.25,28.69
8.75,7.75,28.94
8.75,8.25,29.49
8.75,8.75,29.87
8.75,9.25,29.87
8.75,9.75,30.09
9.25,0.25,30.3
9.25,0.75,29.37
9.25,1.25,28.26
9.25,1.75,28.25
9.25,2.25,28.91
9.25,2.75,29.4
9.25,3.25,29.55
9.25,3.75,29.87
9.25,4.25,30.3
9.25,4.75,30.26
9.25,5.25,29.87
9.25,5.75,29.27
9.25,6.25,28.64
9.25,6.75,27.8
9.25,7.25,27.47
9.25,7.75,27.82
9.25,8.25,28.27
9.25,8.75,27.53
9.25,9.25,27.12
9.25,9.75,28.46
9.75,0.25,30.41
9.75,0.75,30.06
9.75,1.25,28.94
9.75,1.75,29.05
9.75,2.25,29.62
9.75,2.75,29.89
9.75,3.25,29.76
9.75,3.75,29.77
9.75,4.25,29.6
9.75,4.75,28.92
9.75,5.25,28.18
9.75,5.75,27.55
9.75,6.25,26.93
9.75,6.75,26.25
9.75,7.25,25.91
9.75,7.75,26.0
9.75,8.25,26.0
9.75,8.75,24.71
9.75,9.25,25.15
9.75,9.75,26.91
0.25,10.25,24.58
0.25,10.75,23.93
0.25,11.25,23.8
0.25,11.75,23.84
0.25,12.25,24.03
0.25,12.75,24.13
0.25,13.25,24.04
0.25,13.75,23.86
0.25,14.25,23.89
0.25,14.75,23.98
0.25,15.25,24.09
0.25,15.75,24.17
0.25,16.25,24.21
0.25,16.75,24.19
0.25,17.25,24.21
0.25,17.75,24.56
0.25,18.25,25.07
0.25,18.75,25.09
0.25,19.25,24.83
0.25,19.75,24.64
0.75,10.25,24.25
0.75,10.75,23.44
0.75,11.25,23.73
0.75,11.75,23.92
0.75,12.25,24.05
0.75,12.75,24.09
0.75,13.25,24.07
0.75,13.75,24.06
0.75,14.25,23.97
0.75,14.75,24.1
0.75,15.25,24.17
0.75,15.75,24.17
0.75,16.25,24.34
0.75,16.75,24.2
0.75,17.25,24.12
0.75,17.75,24.51
0.75,18.25,25.18
0.75,18.75,25.39
0.75,19.25,24.93
0.75,19.75,24.68
1.25,10.25,24.16
1.25,10.75,23.33
1.25,11.25,23.86
1.25,11.75,24.15
1.25,12.25,24.22
1.25,12.75,24.21
1.25,13.25,24.24
1.25,13.75,24.37
1.25,14.25,24.23
1.25,14.75,24.33
1.25,15.25,24.32
1.25,15.75,24.23
1.25,16.25,24.5
1.25,16.75,24.39
1.25,17.25,24.31
1.25,17.75,24.61
1.25,18.25,25.2
1.25,18.75,25.63
1.25,19.25,25.29
1.25,19.75,25.03
1.75,10.25,24.59
1.75,10.75,23.75
1.75,11.25,24.24
1.75,11.75,24.49
1.75,12.25,24.44
1.75,12.75,24.36
1.75,13.25,24.36
1.75,13.75,24.48
1.75,14.25,24.35
1.75,14.75,24.42
1.75,15.25,24.41
1.75,15.75,24.37
1.75,16.25,24.67
1.75,16.75,24.54
1.75,17.25,24.54
1.75,17.75,24.73
1.75,18.25,25.08
1.75,18.75,25.42
1.75,19.25,25.35
1.75,19.75,25.26
2.25,10.25,25.32
2.25,10.75,24.42
2.25,11.25,24.6
2.25,11.75,24.72
2.25,12.25,24.57
2.25,12.75,24.41
2.25,13.25,24.36
2.25,13.75,24.38
2.25,14.25,24.19
2.25,14.75,24.19
2.25,15.25,24.27
2.25,15.75,24.42
2.25,16.25,24.74
2.25,16.75,24.58
2.25,17.25,24.65
2.25,17.75,24.82
2.25,18.25,25.02
2.25,18.75,25.18
2.25,19.25,25.2
2.25,19.75,25.2
2.75,10.25,25.85
2.75,10.75,24.78
2.75,11.25,24.65
2.75,11.75,24.62
2.75,12.25,24.56
2.75,12.75,24.39
2.75,13.25,24.2
2.75,13.75,24.16
2.75,14.25,23.97
2.75,14.75,23.98
2.75,15.25,24.08
2.75,15.75,24.25
2.75,16.25,24.55
2.75,16.75,24.54
2.75,17.25,24.69
2.75,17.75,24.93
2.75,18.25,25.2
2.75,18.75,25.41
2.75,19.25,25.46
2.75,19.75,25.33
3.25,10.25,26.39
3.25,10.75,25.12
3.25,11.25,24.71
3.25,11.75,24.51
3.25,12.25,24.54
3.25,12.75,24.29
3.25,13.25,23.83
3.25,13.75,23.78
3.25,14.25,23.89
3.25,14.75,24.04
3.25,15.25,24.05
3.25,15.75,23.96
3.25,16.25,24.06
3.25,16.75,24.34
3.25,17.25,24.69
3.25,17.75,25.12
3.25,18.25,25.57
3.25,18.75,25.9
3.25,19.25,26.01
3.25,19.75,25.86
3.75,10.25,26.85
3.75,10.75,25.66
3.75,11.25,25.27
3.75,11.75,24.58
3.75,12.25,24.48
3.75,12.75,24.1
3.75,13.25,23.51
3.75,13.75,23.7
3.75,14.25,24.06
3.75,14.75,24.24
3.75,15.25,24.1
3.75,15.75,23.82
3.75,16.25,23.8
3.75,16.75,24.38
3.75,17.25,24.77
3.75,17.75,25.26
3.75,18.25,25.84
3.75,18.75,26.21
3.75,19.25,26.37
3.75,19.75,26.43
4.25,10.25,26.4
4.25,10.75,25.58
4.25,11.25,26.09
4.25,11.75,24.8
4.25,12.25,24.45
4.25,12.75,23.98
4.25,13.25,23.43
4.25,13.75,24.03
4.25,14.25,24.36
4.25,14.75,24.34
4.25,15.25,24.11
4.25,15.75,23.92
4.25,16.25,24.17
4.25,16.75,24.8
4.25,17.25,24.82
4.25,17.75,25.11
4.25,18.25,25.81
4.25,18.75,26.26
4.25,19.25,26.35
4.25,19.75,26.66
4.75,10.25,24.8
4.75,10.75,24.48
4.75,11.25,25.71
4.75,11.75,24.32
4.75,12.25,24.26
4.75,12.75,23.88
4.75,13.25,23.18
4.75,13.75,23.87
4.75,14.25,24.03
4.75,14.75,23.98
4.75,15.25,23.89
4.75,15.75,24.02
4.75,16.25,24.74
4.75,16.75,25.12
4.75,17.25,24.68
4.75,17.75,24.64
4.75,18.25,25.3
4.75,18.75,26.0
4.75,19.25,26.47
4.75,19.75,26.79
5.25,10.25,23.28
5.25,10.75,22.95
5.25,11.25,24.41
5.25,11.75,23.51
5.25,12.25,24.05
5.25,12.75,23.82
5.25,13.25,22.83
5.25,13.75,23.27
5.25,14.25,23.23
5.25,14.75,23.48
5.25,15.25,23.78
5.25,15.75,24.19
5.25,16.25,25.1
5.25,16.75,25.53
5.25,17.25,25.11
5.25,17.75,24.71
5.25,18.25,24.76
5.25,18.75,25.27
5.25,19.25,26.26
5.25,19.75,26.57
5.75,10.25,22.56
5.75,10.75,22.53
5.75,11.25,24.31
5.75,11.75,23.49
5.75,12.25,24.08
5.75,12.75,23.86
5.75,13.25,22.74
5.75,13.75,22.72
5.75,14.25,22.58
5.75,14.75,22.98
5.75,15.25,23.54
5.75,15.75,24.24
5.75,16.25,25.4
5.75,16.75,26.28
5.75,17.25,26.25
5.75,17.75,25.78
5.75,18.25,25.29
5.75,18.75,25.15
5.75,19.25,25.75
5.75,19.75,26.09
6.25,10.25,23.62
6.25,10.75,23.26
6.25,11.25,24.37
6.25,11.75,23.56
6.25,12.25,23.79
6.25,12.75,23.51
6.25,13.25,22.57
6.25,13.75,22.22
6.25,14.25,22.02
6.25,14.75,22.19
6.25,15.25,22.81
6.25,15.75,23.96
6.25,16.25,25.77
6.25,16.75,26.85
6.25,17.25,27.18
6.25,17.75,27.09
6.25,18.25,26.74
6.25,18.75,26.21
6.25,19.25,26.17
6.25,19.75,26.26
6.75,10.25,26.89
6.75,10.75,25.8
6.75,11.25,24.89
6.75,11.75,23.77
6.75,12.25,23.42
6.75,12.75,22.95
6.75,13.25,22.25
6.75,13.75,22.0
6.75,14.25,21.69
6.75,14.75,22.11
6.75,15.25,23.04
6.75,15.75,24.41
6.75,16.25,26.31
6.75,16.75,27.24
6.75,17.25,27.64
6.75,17.75,27.73
6.75,18.25,27.55
6.75,18.75,27.02
6.75,19.25,26.94
6.75,19.75,26.84
7.25,10.25,28.9
7.25,10.75,28.21
7.25,11.25,27.1
7.25,11.75,24.92
7.25,12.25,24.15
7.25,12.75,23.69
7.25,13.25,23.11
7.25,13.75,22.65
7.25,14.25,22.45
7.25,14.75,23.53
7.25,15.25,24.85
7.25,15.75,26.01
7.25,16.25,27.29
7.25,16.75,28.1
7.25,17.25,28.56
7.25,17.75,28.57
7.25,18.25,28.22
7.25,18.75,27.79
7.25,19.25,27.59
7.25,19.75,27.35
7.75,10.25,29.2
7.75,10.75,29.19
7.75,11.25,28.85
7.75,11.75,26.87
7.75,12.25,26.43
7.75,12.75,26.25
7.75,13.25,25.74
7.75,13.75,25.04
7.75,14.25,25.03
7.75,14.75,25.67
7.75,15.25,26.54
7.75,15.75,27.41
7.75,16.25,28.2
7.75,16.75,29.02
7.75,17.25,29.88
7.75,17.75,30.19
7.75,18.25,29.93
7.75,18.75,29.62
7.75,19.25,28.72
7.75,19.75,28.12
8.25,10.25,29.73
8.25,10.75,29.67
8.25,11.25,28.9
8.25,11.75,27.57
8.25,12.25,28.15
8.25,12.75,28.65
8.25,13.25,28.35
8.25,13.75,27.73
8.25,14.25,27.98
8.25,14.75,27.65
8.25,15.25,27.63
8.25,15.75,28.13
8.25,16.25,28.69
8.25,16.75,29.45
8.25,17.25,30.59
8.25,17.75,31.25
8.25,18.25,31.25
